,Month,Number of cases
0,"Jan 6, 2021",21832
1,"Jan 5, 2021",14410
2,"Jan 4, 2021",12601
3,"Jan 3, 2021",11859
4,"Jan 2, 2021",15002
5,"Jan 1, 2021",16726
6,"Dec 31, 2020",20180
7,"Dec 30, 2020",17710
8,"Dec 29, 2020",9580
9,"Dec 28, 2020",7458
10,"Dec 27, 2020",9502
11,"Dec 26, 2020",11552
12,"Dec 25, 2020",14796
13,"Dec 24, 2020",14305
14,"Dec 23, 2020",14046
15,"Dec 22, 2020",9501
16,"Dec 21, 2020",8789
17,"Dec 20, 2020",9445
18,"Dec 19, 2020",10939
19,"Dec 18, 2020",8725
20,"Dec 17, 2020",9126
21,"Dec 16, 2020",10008
22,"Dec 15, 2020",7552
23,"Dec 14, 2020",5163
24,"Dec 13, 2020",7999
25,"Dec 12, 2020",7882
26,"Dec 11, 2020",8319
27,"Dec 10, 2020",8166
28,"Dec 9, 2020",6709
29,"Dec 8, 2020",4011
30,"Dec 7, 2020",3313
31,"Dec 6, 2020",4116
32,"Dec 5, 2020",4645
33,"Dec 4, 2020",4932
34,"Dec 3, 2020",4400
35,"Dec 2, 2020",4173
36,"Dec 1, 2020",2295
37,"Nov 30, 2020",2302
38,"Nov 29, 2020",2563
39,"Nov 28, 2020",3198
40,"Nov 27, 2020",3370
41,"Nov 26, 2020",3069
42,"Nov 25, 2020",3250
43,"Nov 24, 2020",2493
44,"Nov 23, 2020",2080
45,"Nov 22, 2020",2270
46,"Nov 21, 2020",2646
47,"Nov 20, 2020",3105
48,"Nov 19, 2020",2514
49,"Nov 18, 2020",2888
50,"Nov 17, 2020",1987
51,"Nov 16, 2020",1245
52,"Nov 15, 2020",1842
53,"Nov 14, 2020",2237
54,"Nov 13, 2020",2213
55,"Nov 12, 2020",2338
56,"Nov 11, 2020",2140
57,"Nov 10, 2020",1729
58,"Nov 9, 2020",1247
59,"Nov 8, 2020",1372
60,"Nov 7, 2020",1731
61,"Nov 6, 2020",1761
62,"Nov 5, 2020",1866
63,"Nov 4, 2020",1712
64,"Nov 3, 2020",1241
65,"Nov 2, 2020",772
66,"Nov 1, 2020",1371
67,"Oct 31, 2020",1770
68,"Oct 30, 2020",1912
69,"Oct 29, 2020",2056
70,"Oct 28, 2020",1863
71,"Oct 27, 2020",1092
