,business,Turnover in billion DKK
0,E-boks A/S,231.04
1,Glunz & Jensen Holding A/S,195.63
2,A.P. Møller - Mærsk A/S,192.17
3,Centrica Energy Trading A/S,77.83
4,Vestas Manufacturing A/S,48.19
5,Danske Bank A/S,48.15
6,Energi Danmark A/S,44.54
7,Lego A/S,38.54
8,Coop Danmark A/S,35.34
9,Ørsted Salg & Service A/S,33.08
10,Siemens Gamesa Renewable Energy A/S,30.46
11,Lego System A/S,28.11
12,Ørsted Wind Power A/S,25.25
13,Danish Crown A/S,22.08
14,Pandora A/S,21.87
15,Equinor Refining Denmark A/S,20.59
16,Reitan Distribution A/S,18.24
17,"Lundbeck A/S, H",17.04
18,Coloplast A/S,15.53
19,Bestseller A/S,13.86
