,Month,Retail sales value in thousand GBP
0,Nov 20,9015723
1,Oct 20,8179023
2,Sep 20,7683550
3,Aug 20,7620906
4,Jul 20,7829555
5,Jun 20,7515884
6,May 20,6664645
7,Apr 20,5951083
8,Mar 20,6830717
9,Feb 20,6878626
10,Jan 20,6832800
11,Dec 19,9592060
12,Nov 19,8280504
13,Oct 19,7549030
14,Sep 19,7240427
15,Aug 19,7322461
16,Jul 19,7645548
17,Jun 19,7393107
18,May 19,7310037
19,Apr 19,7335758
20,Mar 19,7054372
21,Feb 19,6761602
22,Jan 19,6641912
23,Dec 18,9334899
24,Nov 18,8365334
25,Oct 18,7358698
26,Sep 18,7056768
27,Aug 18,7156531
28,Jul 18,7401785
29,Jun 18,7142805
30,May 18,7174902
31,Apr 18,6845085
32,Mar 18,6774081
33,Feb 18,6511500
34,Jan 18,6418189
35,Dec 17,9160628
36,Nov 17,8097422
37,Oct 17,7188555
38,Sep 17,6848098
39,Aug 17,6924004
40,Jul 17,7112851
41,Jun 17,6944143
42,May 17,6879428
43,Apr 17,6986903
44,Mar 17,6569830
45,Feb 17,6431510
46,Jan 17,6342561
47,Dec 16,9045235
48,Nov 16,7998821
49,Oct 16,7187701
50,Sep 16,6745845
51,Aug 16,6758848
52,Jul 16,7028647
53,Jun 16,6766418
54,May 16,6830961
55,Apr 16,6602190
56,Mar 16,6469787
57,Feb 16,6255695
58,Jan 16,6266816
59,Dec 15,8492738
60,Nov 15,7536801
61,Oct 15,6705614
62,Sep 15,6492193
63,Aug 15,6387026
64,Jul 15,6682776
65,Jun 15,6576104
66,May 15,6511043
67,Apr 15,6369892
68,Mar 15,6344735
69,Feb 15,6045613
70,Jan 15,6012168
71,Dec 14,8400582
72,Nov 14,7293353
73,Oct 14,6516193
74,Sep 14,6158498
75,Aug 14,6215430
76,Jul 14,6438928
77,Jun 14,6340120
78,May 14,6259428
79,Apr 14,6257037
80,Mar 14,5967086
81,Feb 14,5804782
82,Jan 14,5744011
83,Dec 13,8155538
84,Nov 13,6797845
