,Month,Units sold
0,Dec 19,14117
1,Nov 19,11642
2,Oct 19,12088
3,Sep 19,27834
4,Aug 19,4853
5,Jul 19,9198
6,Jun 19,19985
7,May 19,12415
8,Apr 19,10868
9,Mar 19,30330
10,Feb 19,6870
11,Jan 19,9553
12,Dec 18,11600
13,Nov 18,12821
14,Oct 18,11315
15,Sep 18,27940
16,Aug 18,5998
17,Jul 18,9978
18,Jun 18,22985
19,May 18,12940
20,Apr 18,9078
21,Mar 18,31649
22,Feb 18,6744
23,Jan 18,9000
24,Dec 17,13471
25,Nov 17,12781
26,Oct 17,11056
27,Sep 17,31465
28,Aug 17,4607
29,Jul 17,9083
30,Jun 17,19149
31,May 17,12731
32,Apr 17,11277
33,Mar 17,34867
34,Feb 17,6119
35,Jan 17,8489
36,Dec 16,15066
37,Nov 16,15330
38,Oct 16,13541
39,Sep 16,32595
40,Aug 16,4752
41,Jul 16,9699
42,Jun 16,18712
43,May 16,15423
44,Apr 16,10980
45,Mar 16,32470
46,Feb 16,5760
47,Jan 16,8265
48,Dec 15,17181
49,Nov 15,11963
50,Oct 15,13938
51,Sep 15,29713
52,Aug 15,4848
53,Jul 15,9385
54,Jun 15,17242
55,May 15,12206
56,Apr 15,10891
57,Mar 15,26925
58,Feb 15,5091
59,Jan 15,8008
60,Dec 14,12445
61,Nov 14,12355
62,Oct 14,10558
63,Sep 14,24891
64,Aug 14,3552
65,Jul 14,9955
