,Fiscal quarter,Revenue in billion U.S. dollars
0,Q4 '14,0.41
1,Q3 '14,0.44
2,Q2 '14,0.46
3,Q1 '14,0.97
4,Q4 '13,0.57
5,Q3 '13,0.73
6,Q2 '13,0.96
7,Q1 '13,2.14
8,Q4 '12,0.82
9,Q3 '12,1.06
10,Q2 '12,1.21
11,Q1 '12,2.53
12,Q4 '11,1.1
13,Q3 '11,1.33
14,Q2 '11,1.6
15,Q1 '11,3.43
16,Q4 '10,1.48
17,Q3 '10,1.55
18,Q2 '10,1.86
19,Q1 '10,3.39
20,Q4 '09,1.56
21,Q3 '09,1.49
22,Q2 '09,1.67
23,Q1 '09,3.37
24,Q4 '08,1.66
25,Q3 '08,1.68
26,Q2 '08,1.82
27,Q1 '08,4.0
28,Q4 '07,1.62
29,Q3 '07,1.57
30,Q2 '07,1.69
31,Q1 '07,3.43
32,Q4 '06,1.56
33,Q3 '06,1.5
34,Q2 '06,1.71
35,Q1 '06,2.91
