,Month,Number of patients
0,"Nov 26, 2020",1
1,"Nov 25, 2020",8
2,"Nov 24, 2020",10
3,"Nov 23, 2020",14
4,"Nov 22, 2020",16
5,"Nov 21, 2020",15
6,"Nov 20, 2020",15
7,"Nov 19, 2020",15
8,"Nov 18, 2020",10
9,"Nov 17, 2020",20
10,"Nov 16, 2020",16
11,"Nov 15, 2020",12
12,"Nov 14, 2020",13
13,"Nov 13, 2020",17
14,"Nov 12, 2020",17
15,"Nov 11, 2020",19
16,"Nov 10, 2020",13
17,"Nov 9, 2020",16
18,"Nov 8, 2020",10
19,"Nov 7, 2020",10
20,"Nov 6, 2020",18
21,"Nov 5, 2020",15
22,"Nov 4, 2020",9
23,"Nov 3, 2020",19
24,"Nov 2, 2020",12
25,"Nov 1, 2020",5
26,"Oct 31, 2020",7
27,"Oct 30, 2020",5
28,"Oct 29, 2020",13
29,"Oct 28, 2020",7
30,"Oct 27, 2020",5
31,"Oct 26, 2020",13
32,"Oct 25, 2020",7
33,"Oct 24, 2020",7
34,"Oct 23, 2020",5
35,"Oct 22, 2020",3
36,"Oct 21, 2020",10
37,"Oct 20, 2020",8
38,"Oct 19, 2020",1
39,"Oct 18, 2020",3
40,"Oct 17, 2020",5
41,"Oct 16, 2020",3
42,"Oct 15, 2020",4
43,"Oct 14, 2020",0
44,"Oct 13, 2020",2
45,"Oct 12, 2020",5
46,"Oct 11, 2020",5
47,"Oct 10, 2020",4
48,"Oct 9, 2020",10
49,"Oct 8, 2020",3
50,"Oct 7, 2020",4
51,"Oct 6, 2020",1
52,"Oct 5, 2020",2
53,"Oct 4, 2020",1
54,"Oct 3, 2020",0
55,"Oct 2, 2020",4
56,"Oct 1, 2020",5
57,"Sep 30, 2020",2
58,"Sep 29, 2020",4
59,"Sep 28, 2020",5
60,"Sep 27, 2020",1
61,"Sep 26, 2020",1
62,"Sep 25, 2020",1
63,"Sep 24, 2020",3
64,"Sep 23, 2020",3
65,"Sep 22, 2020",3
66,"Sep 21, 2020",3
67,"Sep 20, 2020",2
68,"Sep 19, 2020",5
69,"Sep 18, 2020",2
70,"Sep 17, 2020",2
71,"Sep 16, 2020",4
72,"Sep 15, 2020",0
73,"Sep 14, 2020",6
