,cruise ship,Gross tonnage in thousands
0,Harmony of the Seas (Royal Caribbean - 2016),226.96
1,Allure of the Seas (Royal Caribbean - 2010),225.28
2,Oasis of the Seas (Royal Caribbean - 2009),225.28
3,MSC Meraviglia (MSC Cruises - 2017),171.6
4,Quantum of the Seas (Royal Caribbean - 2014),168.67
5,Anthem of the Seas (Royal Caribbean - 2015),168.67
6,Ovation of the Seas (Royal Caribbean - 2016),167.67
7,Norwegian Escape (Norwegian Cruise Line - 2015),164.6
8,Liberty of the Seas (Royal Caribbean - 2007),160.0
9,Norwegian Epic (Norwegian Cruise Line - 2010),155.87
10,Freedom of the Seas (Royal Caribbean - 2006),154.41
11,Independence of the Seas (Royal Caribbean - 2008),154.41
12,Queen Mary 2 (Cunard - 2004),148.53
13,Norwegian Breakaway (Norwegian Cruise Line - 2013),146.6
14,Norwegian Getaway (Norwegian Cruise Line - 2014),145.66
15,Britannia (P&O Cruises - 2015),143.0
16,Royal Princess (Princess Cruises - 2013),141.0
17,Regal Princess (Princess Cruises - 2014),141.0
18,MSC Divina (MSC Cruises - 2012),139.07
19,MSC Preziosa (MSC Cruises - 2013),139.07
20,Navigator of the Seas (Royal Caribbean - 2002),138.28
21,Mariner of the Seas (Royal Caribbean - 2003),138.28
22,MSC Fantasia (MSC Cruises - 2008),137.94
23,MSC Splendida (MSC Cruises - 2009),137.94
24,Explorer of the Seas (Royal Caribbean - 2000),225.28
