,State,Number of aggravated assaults
0,California,105412
1,Texas,73656
2,Florida,55551
3,New York,43171
4,Tennessee,31717
5,Michigan,31021
6,Illinois,30539
7,North Carolina,27526
8,Pennsylvania,24077
9,Arizona,23528
10,Georgia,22783
11,Missouri,22042
12,Alabama,18944
13,South Carolina,18446
14,Louisiana,17866
15,Ohio,17674
16,Indiana,16834
17,Massachusetts,16648
18,Maryland,16135
19,Colorado,14547
20,Washington,14251
21,New Mexico,13598
22,Oklahoma,13084
23,Arkansas,12378
24,Wisconsin,11263
25,New Jersey,10463
26,Virginia,10113
27,Nevada,10027
28,Kansas,9559
29,Oregon,7360
30,Minnesota,6857
31,Iowa,5931
32,Kentucky,5059
33,Mississippi,4696
34,Alaska,4391
35,Utah,4319
36,Connecticut,4294
37,District of Columbia,3971
38,West Virginia,3945
39,Nebraska,3461
40,Montana,3120
41,Idaho,2957
42,Delaware,2845
43,South Dakota,2682
44,Hawaii,1925
45,North Dakota,1560
46,New Hampshire,1435
47,Rhode Island,1366
48,Wyoming,870
49,Maine,803
50,Vermont,710
