,MLB Teams concession stands,Soft drink price in U.S. dollars
0,St. Louis Cardinals (21),6.25
1,Cincinnati Reds (24),6.25
2,Los Angeles Dodgers (20),6.0
3,New York Mets (20),5.75
4,San Diego Padres (20),5.5
5,Atlanta Braves (22),5.5
6,Chicago White Sox (24),5.5
7,Texas Rangers (20),5.5
8,San Francisco Giants (16),5.5
9,Chicago Cubs (20),5.25
10,Boston Red Sox (16),5.25
11,Seattle Mariners (16),5.25
12,Houston Astros (21),5.0
13,Tampa Bay Rays (22),5.0
14,Philadelphia Phillies (20),5.0
15,Milwaukee Brewers (24),5.0
16,Oakland Athletics (16),5.0
17,Detroit Tigers (16),4.75
18,MLB league average (19),4.6
19,Colorado Rockies (26),4.5
20,Kansas City Royals (16),4.0
21,Toronto Blue Jays (20),3.94
22,Cleveland Indians (12),3.75
23,Pittsburgh Pirates (16),3.5
24,Los Angeles Angels (16),3.5
25,New York Yankees (12),3.0
26,Washington Nationals (22),3.0
27,Miami Marlins (24),3.0
28,Minnesota Twins (16),2.0
29,Arizona Diamondbacks (12),2.0
30,Baltimore Orioles (12),1.5
