, Kickstarter projects,Funds raised in U.S. dollars
0,Pebble Time (2015),20338986
1,Coolest Cooler (2014),13285226
2,Pebble (2012),10266245
3,Double Fine Adventure (2012),3336371
4,Elevation Dock (2012),1464706
5,TikTok+LunaTik (2010),942578
6,Save Blue Like Jazz (2010),345992
7,Decentralize the Web with Diaspora (2010),200641
8,Designing Obama (2009),84613
9,"The Vanderbilt Republic Foundation: ""Masters"" (2009)",50264
10,Release The Next Five Times August Album (2009),20546
11,"Help Polyvinyl Save 10,000 Records From Destruction (2009)",15625
12,Allison Weiss makes a full-length record (2009),7711
13,New York Makes a Book (2009),3329
