,Year,GDP per capita in U.S. dollars
0,2025*,1526.58
1,2024*,1435.18
2,2023*,1349.09
3,2022*,1260.14
4,2021*,1165.82
5,2020*,1115.56
6,2019*,1078.56
7,2018,1033.91
8,2017,911.44
9,2016,777.15
10,2015,792.55
11,2014,743.1
12,2013,688.58
13,2012,681.79
14,2011,695.69
15,2010,592.15
16,2009,480.72
17,2008,473.84
18,2007,393.85
19,2006,348.63
20,2005,319.03
21,2004,287.4
22,2003,253.62
23,2002,243.26
24,2001,243.81
25,2000,241.38
26,1999,231.85
27,1998,229.85
28,1997,235.99
29,1996,221.92
30,1995,220.4
31,1994,208.15
32,1993,204.63
33,1992,195.82
34,1991,221.43
35,1990,207.7
36,1989,206.87
37,1988,209.44
38,1987,181.61
39,1986,178.96
40,1985,168.17
