,Nfl Players,Number of passing yards
0,Drew Brees (2001-2020),77416
1,Tom Brady (2000-2020),74571
2,Peyton Manning (1998-2015),71940
3,Brett Favre (1991-2010),71838
4,Dan Marino (1983-1999),61361
5,Philip Rivers (2004-2020),59271
6,Eli Manning (2004-2020),57023
7,Ben Roethlisberger (2004-2020),56545
8,John Elway (1983-1998),51475
9,Matt Ryan (2008-2020),51186
10,Warren Moon (1984-2000),49325
11,Fran Tarkenton (1961-1978),47003
12,Aaron Rodgers (2005-2020),46946
13,Carson Palmer (2004-2017),46247
14,Vinny Testaverde (1987-2007),46233
15,Drew Bledsoe (1993-2006),44611
16,Dan Fouts (1973-1987),43040
17,Matthew Staford (2009-2020),41025
18,Kerry Collins (1995-2011),40922
19,Joe Montana (1979-1994),40551
