,Month,Number of COVID-19 patients in ICU
0,"Jan 6, 2021",2571
1,"Jan 5, 2021",2569
2,"Jan 4, 2021",2579
3,"Jan 3, 2021",2583
4,"Jan 2, 2021",2569
5,"Jan 1, 2021",2553
6,"Dec 31, 2020",2555
7,"Dec 30, 2020",2528
8,"Dec 29, 2020",2549
9,"Dec 28, 2020",2565
10,"Dec 27, 2020",2580
11,"Dec 26, 2020",2580
12,"Dec 25, 2020",2584
13,"Dec 24, 2020",2589
14,"Dec 23, 2020",2624
15,"Dec 22, 2020",2687
16,"Dec 21, 2020",2731
17,"Dec 20, 2020",2743
18,"Dec 19, 2020",2784
19,"Dec 18, 2020",2819
20,"Dec 17, 2020",2855
21,"Dec 16, 2020",2926
22,"Dec 15, 2020",3003
23,"Dec 14, 2020",3095
24,"Dec 13, 2020",3158
25,"Dec 12, 2020",3199
26,"Dec 11, 2020",3265
27,"Dec 10, 2020",3291
28,"Dec 9, 2020",3320
29,"Dec 8, 2020",3345
30,"Dec 7, 2020",3382
31,"Dec 6, 2020",3454
32,"Dec 5, 2020",3517
33,"Dec 4, 2020",3567
34,"Dec 3, 2020",3597
35,"Dec 2, 2020",3616
36,"Dec 1, 2020",3663
37,"Nov 30, 2020",3744
38,"Nov 29, 2020",3753
39,"Nov 28, 2020",3762
40,"Nov 27, 2020",3782
41,"Nov 26, 2020",3846
42,"Nov 25, 2020",3848
43,"Nov 24, 2020",3816
44,"Nov 23, 2020",3810
45,"Nov 22, 2020",3801
46,"Nov 21, 2020",3758
47,"Nov 20, 2020",3748
48,"Nov 19, 2020",3712
49,"Nov 18, 2020",3670
50,"Nov 17, 2020",3612
51,"Nov 16, 2020",3492
52,"Nov 15, 2020",3422
53,"Nov 14, 2020",3306
54,"Nov 13, 2020",3230
55,"Nov 12, 2020",3170
56,"Nov 11, 2020",3081
57,"Nov 10, 2020",2971
58,"Nov 9, 2020",2849
59,"Nov 8, 2020",2749
60,"Nov 7, 2020",2634
61,"Nov 6, 2020",2515
62,"Nov 5, 2020",2391
63,"Nov 4, 2020",2292
64,"Nov 3, 2020",2225
65,"Nov 2, 2020",2022
66,"Nov 1, 2020",1939
67,"Oct 31, 2020",1843
68,"Oct 30, 2020",1746
69,"Oct 29, 2020",1651
70,"Oct 28, 2020",1536
71,"Oct 27, 2020",1411
72,"Oct 26, 2020",1284
73,"Oct 25, 2020",1208
74,"Oct 24, 2020",1128
75,"Oct 23, 2020",1049
76,"Oct 22, 2020",992
77,"Oct 21, 2020",926
78,"Oct 20, 2020",870
79,"Oct 19, 2020",797
80,"Oct 18, 2020",750
81,"Oct 17, 2020",705
82,"Oct 16, 2020",638
83,"Oct 15, 2020",586
84,"Oct 14, 2020",539
85,"Oct 13, 2020",514
86,"Oct 12, 2020",452
87,"Oct 11, 2020",420
88,"Oct 10, 2020",390
89,"Oct 9, 2020",387
90,"Oct 8, 2020",358
91,"Oct 7, 2020",337
92,"Oct 6, 2020",319
93,"Oct 5, 2020",323
94,"Oct 4, 2020",303
95,"Oct 3, 2020",297
96,"Oct 2, 2020",294
97,"Oct 1, 2020",291
98,"Sep 30, 2020",280
99,"Sep 29, 2020",271
100,"Sep 28, 2020",264
101,"Sep 27, 2020",254
102,"Sep 26, 2020",247
103,"Sep 25, 2020",244
104,"Sep 24, 2020",246
105,"Sep 23, 2020",244
106,"Sep 22, 2020",239
107,"Sep 21, 2020",232
108,"Sep 20, 2020",222
109,"Sep 19, 2020",215
110,"Sep 18, 2020",208
111,"Sep 17, 2020",212
112,"Sep 16, 2020",207
113,"Sep 15, 2020",201
114,"Sep 14, 2020",197
115,"Sep 13, 2020",187
116,"Sep 12, 2020",182
117,"Sep 11, 2020",175
118,"Sep 10, 2020",164
119,"Sep 9, 2020",150
120,"Sep 8, 2020",143
121,"Sep 7, 2020",142
122,"Sep 6, 2020",133
123,"Sep 5, 2020",121
124,"Sep 4, 2020",121
125,"Sep 3, 2020",120
126,"Sep 2, 2020",109
127,"Sep 1, 2020",107
128,"Aug 31, 2020",94
129,"Aug 30 , 2020",86
130,"Aug 29 , 2020",79
131,"Aug 28 , 2020",74
132,"Aug 27 , 2020",67
133,"Aug 26 , 2020",69
134,"Aug 25 , 2020",66
135,"Aug 24 , 2020",65
136,"Aug 23 , 2020",69
137,"Aug 22 , 2020",64
138,"Aug 21 , 2020",69
139,"Aug 20 , 2020",68
140,"Aug 19 , 2020",66
141,"Aug 18 , 2020",58
142,"Aug 17, 2020",58
143,"Aug 16, 2020",56
144,"Aug 15, 2020",55
145,"Aug 14, 2020",56
146,"Aug 13, 2020",55
147,"Aug 12, 2020",53
148,"Aug 11, 2020",49
149,"Aug 10, 2020",46
150,"Aug 9, 2020",45
151,"Aug 8, 2020",43
152,"Aug 7, 2020",42
153,"Aug 6, 2020",42
154,"Aug 5, 2020",41
155,"Aug 4, 2020",41
156,"Aug 3, 2020",41
157,"Aug 2 , 2020",42
158,"Aug 1 , 2020",43
159,"Jul 31 , 2020",41
160,"Jul 30 , 2020",47
161,"Jul 29 , 2020",38
162,"Jul 28 , 2020",40
163,"Jul 27 , 2020",45
164,"Jul 26 , 2020",44
165,"Jul 25 , 2020",41
166,"Jul 24 , 2020",46
167,"Jul 23 , 2020",49
168,"Jul 22 , 2020",48
169,"Jul 21 , 2020",49
170,"Jul 20, 2020",47
171,"Jul 19 , 2020",49
172,"Jul 18 , 2020",50
173,"Jul 17 , 2020",50
174,"Jul 16 , 2020",53
175,"Jul 15 , 2020",57
176,"Jul 14 , 2020",60
177,"Jul 13 , 2020",65
178,"Jul 12 , 2020",68
179,"Jul 11 , 2020",67
180,"Jul 10 , 2020",65
181,"Jul 9 , 2020",69
182,"Jul 8, 2020",71
183,"Jul 7, 2020",70
184,"Jul 6, 2020",72
185,"Jul 5, 2020",74
186,"Jul 4, 2020",71
187,"Jul 3, 2020",79
188,"Jul 2, 2020",82
189,"Jul 1, 2020",87
190,"Jun 30, 2020",93
191,"Jun 29, 2020",96
192,"Jun 28, 2020",98
193,"Jun 27, 2020",97
194,"Jun 26, 2020",105
195,"Jun 25, 2020",103
196,"Jun 24, 2020",107
197,"Jun 23, 2020",115
198,"Jun 22, 2020",127
199,"Jun 21, 2020",148
200,"Jun 20, 2020",152
201,"Jun 19, 2020",161
202,"Jun 18, 2020",168
203,"Jun 17, 2020",163
204,"Jun 16, 2020",177
205,"Jun 15, 2020",207
206,"Jun 14, 2020",209
207,"Jun 13, 2020",220
208,"Jun 12, 2020",227
209,"Jun 11, 2020",236
210,"Jun 10, 2020",249
211,"Jun 9, 2020",263
212,"Jun 8, 2020",283
213,"Jun 7, 2020",287
214,"Jun 6, 2020",293
215,"Jun 5, 2020",316
216,"Jun 4, 2020",338
217,"Jun 3, 2020",353
218,"Jun 2, 2020",408
219,"Jun 1, 2020",424
220,"May 31, 2020",435
221,"May 30, 2020",450
222,"May 29, 2020",475
223,"May 28, 2020",489
224,"May 27, 2020",505
225,"May 26, 2020",521
226,"May 25, 2020",541
227,"May 24, 2020",553
228,"May 23, 2020",572
229,"May 22, 2020",595
230,"May 21, 2020",640
231,"May 20, 2020",676
232,"May 19, 2020",716
233,"May 18, 2020",749
234,"May 17, 2020",772
235,"May 16, 2020",775
236,"May 15 , 2020",808
237,"May 14 , 2020",855
238,"May 13 , 2020",893
239,"May 12 , 2020",952
240,"May 11 , 2020",999
241,"May 10 , 2020",1027
242,"May 9 , 2020",1034
243,"May 8 , 2020",1168
244,"May 7 , 2020",1311
245,"May 6, 2020",1333
246,"May 5 , 2020",1427
247,"May 4 , 2020",1479
248,"May 3 , 2020",1501
249,"May 2 , 2020",1539
250,"May 1 , 2020",1578
251,"Apr 30 , 2020",1694
252,"Apr 29 , 2020",1795
253,"Apr 28 , 2020",1863
254,"Apr 27 , 2020",1956
255,"Apr 26 , 2020",2009
256,"Apr 25, 2020",2102
257,"Apr 24, 2020",2173
258,"Apr 23 , 2020",2267
259,"Apr 22 , 2020",2384
260,"Apr 21 , 2020",2471
261,"Apr 20 , 2020",2573
262,"Apr 19 , 2020",2635
263,"Apr 18 , 2020",2733
264,"Apr 17 , 2020",2812
265,"Apr 16 , 2020",2936
266,"Apr 15 , 2020",3079
267,"Apr 14 , 2020",3186
268,"Apr 13, 2020",3260
269,"Apr 12 , 2020",3343
270,"Apr 11 , 2020",3381
271,"Apr 10 , 2020",3497
