,Year,Import volume in billion U.S. dollars
0,2019,57.67
1,2018,54.35
2,2017,48.55
3,2016,46.02
4,2015,44.78
5,2014,45.36
6,2013,41.81
7,2012,40.51
8,2011,36.15
9,2010,29.53
10,2009,21.17
11,2008,25.7
12,2007,24.07
13,2006,21.83
14,2005,18.8
15,2004,15.57
16,2003,13.06
17,2002,11.82
18,2001,9.74
19,2000,10.69
20,1999,9.07
21,1998,8.24
22,1997,7.32
23,1996,6.17
24,1995,5.73
25,1994,5.31
26,1993,4.55
27,1992,3.78
28,1991,3.19
29,1990,3.2
30,1989,3.31
31,1988,2.94
32,1987,2.53
33,1986,2.28
34,1985,2.29
