,Year,Inflation rate compared to previous year
0,2024*,7.05%
1,2023*,6.95%
2,2022*,6.46%
3,2021*,4.85%
4,2020*,4.04%
5,2019*,2.76%
6,2018,4.83%
7,2017,6.22%
8,2016,7.85%
9,2015,4.95%
10,2014,5.68%
11,2013,5.62%
12,2012,8.94%
13,2011,6.11%
14,2010,4.51%
15,2009,7.45%
16,2008,12.66%
17,2007,8.08%
18,2006,5.2%
19,2005,4.9%
20,2004,3.45%
21,2003,7.29%
22,2002,12.02%
23,2001,5.94%
24,2000,12.21%
25,1999,6.09%
26,1998,8.11%
27,1997,7.13%
28,1996,6.43%
29,1995,12.29%
30,1994,13.77%
31,1993,12.02%
32,1992,7.56%
33,1991,8.93%
34,1990,13.09%
35,1989,7.55%
36,1988,20.4%
37,1987,13.38%
38,1986,13.74%
39,1985,20.46%
40,1984,12.94%
