,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",66.16
1,Professional and business services,36.9
2,Government and government enterprises,38.12
3,"Educational services, health care, and social assistance",31.16
4,Manufacturing,28.42
5,Retail trade,23.99
6,Wholesale trade,18.06
7,Information,13.59
8,"Arts, entertainment, recreation, accommodation, and food services",14.03
9,Construction,13.23
10,Transportation and warehousing,9.72
11,"Mining, quarrying, and oil and gas extraction",5.62
12,Utilities,6.01
13,"Agriculture, forestry, fishing, and hunting",3.43
