,Response,Share of respondents
0,Hotmail,25%
1,Facebook,21%
2,PayPal,6%
3,Yahoo,6%
4,Banking / other bank account,6%
5,Yahoo mail /Ymail,5%
6,Gmail / Google mail,4%
7,Twitter,4%
8,eBay,4%
9,Online banking (non specific),3%
10,E-mail,2%
11,Sony Playstation Network,2%
12,Credit card,2%
13,Adobe,2%
14,AOL,2%
15,Other online store,2%
16,Other E-mail,2%
17,BT /BTYahooE-Mail,1%
18,World of Warcraft,1%
19,Lloyds,1%
20,Halifax,1%
21,Online games,1%
22,Virgin Media E-Mail,1%
23,MSN,1%
24,Racing Post,1%
25,Other answers,4%
26,Nothing/ none,1%
27,Don't know,3%
