,Year,GDP per capita in U.S. dollars
0,2025*,6614.74
1,2024*,6299.5
2,2023*,5999.32
3,2022*,5713.4
4,2021*,5456.71
5,2020*,5207.24
6,2019,6423.18
7,2018,6692.12
8,2017,6327.39
9,2016,5799.62
10,2015,6088.68
11,2014,7998.84
12,2013,8103.49
13,2012,7950.38
14,2011,7264.11
15,2010,6285.2
16,2009,5170.53
17,2008,5444.82
18,2007,4684.01
19,2006,3717.55
20,2005,3384.61
21,2004,2737.58
22,2003,2240.21
23,2002,2347.51
24,2001,2383.31
25,2000,2455.11
26,1999,2588.92
27,1998,2992.93
28,1997,3291.58
29,1996,3037.63
30,1995,2939.1
31,1994,2640.39
32,1993,2139.18
33,1992,1923.58
34,1991,1658.07
35,1990,1637.5
36,1989,1640.39
37,1988,1660.55
38,1987,1572.58
39,1986,1542.36
40,1985,1572.19
