,Year,Unit shipments in thousands
0,4Q '19*,563.5
1,3Q '19*,563.7
2,2Q '19*,483.1
3,1Q '19*,406.3
4,4Q '18*,541.3
5,3Q '18*,539.4
6,2Q '18*,463.6
7,1Q '18*,393.3
8,4Q '17,524.1
9,3Q '17,523.7
10,2Q '17,452.3
11,1Q '17,376.7
12,4Q '16,534.2
13,3Q '16,503.4
14,2Q '16,520.0
15,1Q '16,479.4
16,4Q '15,547.1
17,3Q '15,574.5
18,2Q '15,490.0
19,1Q '15,425.2
20,4Q '14,498.8
21,3Q '14,496.7
22,2Q '14,476.5
23,1Q '14,405.9
24,4Q '13,513.6
25,3Q '13,509.1
26,2Q '13,414.0
27,1Q '13,402.5
28,4Q '12,498.9
29,3Q '12,569.4
30,2Q '12,481.4
31,1Q '12,431.6
