,Month,Number of visitors in thousands
0,Oct '19,38.03
1,Sep '19,38.43
2,Aug '19,48.09
3,Jul '19,61.36
4,Jun '19,61.2
5,May '19,45.48
6,Apr '19,40.52
7,Mar '19,41.23
8,Feb '19,30.63
9,Jan '19,35.59
10,Dec '18,44.01
11,Nov '18,31.55
12,Oct '18,31.88
13,Sep '18,32.45
14,Aug '18,43.28
15,Jul '18,50.31
16,Jun '18,48.28
17,May '18,34.19
18,Apr '18,29.71
19,Mar '18,35.51
20,Feb '18,23.96
21,Jan '18,26.62
22,Dec '17,36.55
23,Nov '17,29.75
24,Oct '17,28.75
25,Sep '17,30.05
26,Aug '17,39.67
27,Jul '17,46.43
28,Jun '17,44.09
29,May '17,34.84
30,Apr '17,33.27
31,Mar '17,30.99
32,Feb '17,22.81
33,Jan '17,25.95
34,Dec '16,34.24
35,Nov '16,25.38
36,Oct '16,25.42
37,Sep '16,28.81
38,Aug '16,32.52
39,Jul '16,41.7
40,Jun '16,36.02
41,May '16,33.01
42,Apr '16,26.73
43,Mar '16,31.71
44,Feb '16,22.66
45,Jan '16,26.71
46,Dec '15,33.82
47,Nov '15,24.6
48,Oct '15,25.47
49,Sep '15,28.68
50,Aug '15,33.2
51,Jul '15,39.67
52,Jun '15,35.09
53,May '15,31.86
54,Apr '15,24.95
55,Mar '15,27.77
56,Feb '15,20.34
57,Jan '15,25.13
