,Year,Import volume in billion U.S. dollars
0,2019,77.51
1,2018,74.26
2,2017,71.42
3,2016,69.89
4,2015,71.78
5,2014,69.68
6,2013,62.37
7,2012,58.9
8,2011,56.66
9,2010,48.88
10,2009,39.22
11,2008,48.07
12,2007,47.56
13,2006,45.8
14,2005,43.78
15,2004,46.17
16,2003,37.23
17,2002,35.57
18,2001,35.18
19,2000,40.31
20,1999,31.18
21,1998,23.94
22,1997,23.17
23,1996,22.65
24,1995,24.18
25,1994,19.63
26,1993,17.12
27,1992,16.68
28,1991,17.02
29,1990,18.49
30,1989,19.74
31,1988,20.11
32,1987,16.99
33,1986,12.73
34,1985,10.01
