,Nba Team,Facebook fans in millions
0,NBA*,38.05
1,Los Angeles Lakers,21.57
2,Chicago Bulls,17.74
3,Miami Heat,15.27
4,Houston Rockets,12.56
5,Golden State Warriors,11.72
6,Boston Celtics,9.01
7,Cleveland Cavaliers,8.59
8,Sacramento Kings,7.51
9,Oklahoma City Thunder,7.07
10,San Antonio Spurs,7.05
11,New York Knicks,5.83
12,Dallas Mavericks,4.37
13,Los Angeles Clippers,3.78
14,Indiana Pacers,3.25
15,Orlando Magic,2.75
16,Brooklyn Nets,2.7
17,Toronto Raptors,2.68
18,Portland Trailblazers,2.46
19,Denver Nuggets,2.01
20,Minnesota Timberwolves,1.89
21,Phoenix Suns,1.88
22,Milwaukee Bucks,1.82
23,Utah Jazz,1.81
24,Memphis Grizzlies,1.8
25,Detroit Pistons,1.79
26,New Orleans Pelicans,1.75
27,Philadelphia 76ers,1.75
28,Charlotte Hornets,1.74
29,Atlanta Hawks,1.61
30,Washington Wizards,1.55
