,Year,Gross domestic product in billion international dollars
0,2021*,94.06
1,2020*,89.6
2,2019*,92.06
3,2018,88.64
4,2017,84.29
5,2016,79.65
6,2015,75.63
7,2014,72.22
8,2013,68.5
9,2012,65.83
10,2011,61.63
11,2010,57.88
12,2009,54.51
13,2008,54.63
14,2007,51.21
15,2006,46.1
16,2005,41.73
17,2004,38.96
18,2003,36.36
19,2002,34.24
20,2001,32.63
21,2000,30.86
22,1999,29.07
23,1998,27.57
24,1997,25.49
25,1996,23.73
26,1995,23.02
27,1994,21.66
28,1993,20.29
29,1992,18.51
30,1991,16.57
31,1990,15.68
32,1989,14.59
33,1988,13.28
34,1987,12.41
35,1986,11.56
36,1985,10.73
37,1984,10.33
