,Year,Gross domestic product in billion U.S. dollars
0,2024*,89.96
1,2023*,84.59
2,2022*,79.67
3,2021*,74.9
4,2020*,70.13
5,2019*,66.25
6,2018,65.2
7,2017,58.34
8,2016,53.24
9,2015,50.2
10,2014,56.82
11,2013,55.56
12,2012,53.9
13,2011,57.42
14,2010,50.61
15,2009,51.89
16,2008,54.41
17,2007,44.41
18,2006,34.13
19,2005,29.64
20,2004,25.96
21,2003,20.98
22,2002,16.28
23,2001,14.08
24,2000,13.15
25,1999,13.5
26,1998,13.23
27,1997,10.02
28,1996,9.49
29,1995,12.56
30,1994,7.5
31,1993,4.27
32,1992,7.86
33,1991,1.94
34,1990,19.77
35,1989,44.84
36,1988,44.02
37,1987,26.94
38,1986,23.24
39,1985,26.26
40,1984,30.67
