,Year,"Deaths per 1,000 live births"
0,2020,3.0
1,2015,3.0
2,2010,4.0
3,2005,5.0
4,2000,5.0
5,1995,6.0
6,1990,7.0
7,1985,8.0
8,1980,9.0
9,1975,11.0
10,1970,13.0
11,1965,16.0
12,1960,18.0
13,1955,23.0
14,1950,30.8
15,1945,50.0
16,1940,37.4
17,1935,44.2
18,1930,56.4
19,1925,69.4
20,1920,90.2
21,1915,99.4
22,1910,114.2
23,1905,136.4
24,1900,151.2
25,1895,165.2
26,1890,175.0
27,1885,181.2
28,1880,197.2
29,1875,211.4
30,1870,202.6
31,1865,196.8
32,1860,204.4
33,1855,189.8
34,1850,191.6
35,1845,174.0
36,1840,164.0
