,Month,Revenue in million U.S. dollars
0,Avengers: Endgame*,2797.8
1,Avatar,2789.97
2,Titanic,2187.5
3,Star Wars: The Force Awakens,2068.22
4,Avengers: Infinity War,2048.36
5,Jurassic World,1670.4
6,The Lion King (2019),1654.65
7,Marvel's The Avengers,1518.81
8,Furious 7,1515.05
9,Avengers : Age of Ultron,1402.81
10,Black Panther,1346.91
11,Harry Potter andthe Deathly Hallows (Part II),1341.93
12,Star Wars: The Last Jedi,1332.54
13,Jurassic World: Fallen Kingdom,1308.47
14,Frozen,1274.22
15,Beauty and the Beast (2017),1263.52
16,Incredibles 2,1242.81
17,The Fate of the Furious,1236.01
18,Iron Man 3,1214.81
19,Minions,1159.4
