,Month,Exchange rate
0,Nov '20,26.19
1,Oct' 20,27.25
2,Sep '20,27.23
3,Aug '20,26.21
4,Jul '20,26.18
5,Jun '20,26.74
6,May '20,26.92
7,Apr '20,27.1
8,Mar '20,27.31
9,Feb '20,25.39
10,Jan '20,25.21
11,Dec '19,25.41
12,Nov '19,25.52
13,Oct '19,25.51
14,Sep '19,25.82
15,Aug '19,25.91
16,Jul '19,25.66
17,Jun '19,25.45
18,May '19,25.82
19,Apr '19,25.66
20,Mar '19,25.8
21,Feb '19,25.6
22,Jan '19,25.76
23,Dec '18,25.72
24,Nov '18,25.96
25,Oct '18,25.92
26,Sep '18,25.73
27,Aug '18,25.74
28,Jul '18,25.6
29,Jun '18,26.02
30,May '18,25.8
31,Apr '18,25.54
32,Mar '18,25.43
33,Feb '18,25.42
34,Jan '18,25.27
35,Dec '17,25.54
36,Nov '17,25.49
37,Oct '17,25.67
38,Sep '17,25.98
39,Aug '17,26.1
40,Jul '17,26.08
41,Jun '17,26.2
42,May '17,26.42
43,Apr '17,26.92
44,Mar '17,27.03
45,Feb '17,27.02
46,Jan '17,27.02
47,Dec '16,27.03
48,Nov '16,27.03
49,Oct '16,27.02
50,Sep '16,27.02
51,Aug '16,27.03
52,Jul '16,27.03
53,Jun '16,27.13
54,May '16,27.02
55,Apr '16,27.04
56,Mar '16,27.05
57,Feb '16,27.06
58,Jan '16,27.03
59,Dec '15,27.02
60,Nov '15,27.03
61,Oct '15,27.09
62,Sep '15,27.19
63,Aug '15,27.02
64,Jul '15,27.03
65,Jun '15,27.25
66,May '15,27.4
67,Apr '15,27.43
68,Mar '15,27.53
69,Feb '15,27.44
70,Jan '15,27.8
71,Dec '14,27.74
72,Nov '14,27.65
73,Oct '14,27.77
74,Sep '14,27.5
75,Aug '14,27.73
76,Jul '14,27.57
77,Jun '14,27.45
78,May '14,27.47
79,Apr '14,27.45
80,Mar '14,27.44
81,Feb '14,27.34
82,Jan '14,27.5
