,Month,RPI rate
0,Nov 20,0.9%
1,Oct 20,1.3%
2,Sep 20,1.1%
3,Aug 20,0.5%
4,Jul 20,1.6%
5,Jun 20,1.1%
6,May 20,1%
7,Apr 20,1.5%
8,Mar 20,2.6%
9,Feb 20,2.5%
10,Jan 20,2.7%
11,Dec 19,2.2%
12,Nov 19,2.2%
13,Oct 19,2.1%
14,Sep 19,2.4%
15,Aug 19,2.6%
16,Jul 19,2.8%
17,Jun 19,2.9%
18,May 19,3%
19,Apr 19,3%
20,Mar 19,2.4%
21,Feb 19,2.5%
22,Jan 19,2.5%
23,Dec 18,2.7%
24,Nov 18,3.2%
25,Oct 18,3.3%
26,Sep 18,3.3%
27,Aug 18,3.5%
28,Jul 18,3.2%
29,Jun 18,3.4%
30,May 18,3.3%
31,Apr 18,3.4%
32,Mar 18,3.3%
33,Feb 18,3.6%
34,Jan 18,4%
35,Dec 17,4.1%
36,Nov 17,3.9%
37,Oct 17,4%
38,Sep 17,3.9%
39,Aug 17,3.9%
40,Jul 17,3.6%
41,Jun 17,3.5%
42,May 17,3.7%
43,Apr 17,3.5%
44,Mar 17,3.1%
45,Feb 17,3.2%
46,Jan 17,2.6%
47,Dec 16,2.5%
48,Nov 16,2.2%
49,Oct 16,2%
50,Sep 16,2%
51,Aug 16,1.8%
52,Jul 16,1.9%
53,Jun 16,1.6%
54,May 16,1.4%
55,Apr 16,1.3%
56,Mar 16,1.6%
57,Feb 16,1.3%
58,Jan 16,1.3%
59,Dec 15,1.2%
60,Nov 15,1.1%
61,Oct 15,0.7%
62,Sep 15,0.8%
63,Aug 15,1.1%
64,Jul 15,1%
65,Jun 15,1%
66,May 15,1%
67,Apr 15,0.9%
68,Mar 15,0.9%
69,Feb 15,1%
70,Jan 15,1.1%
71,Dec 14,1.6%
72,Nov 14,2%
73,Oct 14,2.3%
74,Sep 14,2.3%
75,Aug 14,2.4%
76,Jul 14,2.5%
77,Jun 14,2.6%
78,May 14,2.4%
79,Apr 14,2.5%
80,Mar 14,2.5%
81,Feb 14,2.7%
82,Jan 14,2.8%
83,Dec 13,2.7%
84,Nov 13,2.6%
85,Oct 13,2.6%
86,Sep 13,3.2%
87,Aug 13,3.3%
88,Jul 13,3.1%
89,Jun 13,3.3%
90,May 13,3.1%
91,Apr 13,2.9%
92,Mar 13,3.3%
93,Feb 13,3.2%
94,Jan 13,3.3%
95,Dec 12,3.1%
96,Nov 12,3%
97,Oct 12,3.2%
98,Sep 12,2.6%
99,Aug 12,2.9%
100,Jul 12,3.2%
101,Jun 12,2.8%
102,May 12,3.1%
103,Apr 12,3.5%
104,Mar 12,3.6%
105,Feb 12,3.7%
106,Jan 12,3.9%
107,Dec 11,4.8%
108,Nov 11,5.2%
109,Oct 11,5.4%
110,Sep 11,5.6%
111,Aug 11,5.2%
112,Jul 11,5%
113,Jun 11,5%
114,May 11,5.2%
115,Apr 11,5.2%
116,Mar 11,5.3%
117,Feb 11,5.5%
118,Jan 11,5.1%
119,Dec 10,4.8%
120,Nov 10,4.7%
121,Oct 10,4.5%
122,Sep 10,4.6%
123,Aug 10,4.7%
124,Jul 10,4.8%
125,Jun 10,5%
126,May 10,5.1%
127,Apr 10,5.3%
128,Mar 10,4.4%
129,Feb 10,3.7%
130,Jan 10,3.7%
131,Dec 09,2.4%
132,Nov 09,0.3%
133,Oct 09,-0.8%
134,Sep 09,-1.4%
135,Aug 09,-1.3%
136,Jul 09,-1.4%
137,Jun 09,-1.6%
138,May 09,-1.1%
139,Apr 09,-1.2%
140,Mar 09,-0.4%
141,Feb 09,0%
142,Jan 09,0.1%
143,Dec 08,0.9%
144,Nov 08,3%
145,Oct 08,4.2%
146,Sep 08,5%
147,Aug 08,4.8%
148,Jul 08,5%
149,Jun 08,4.6%
150,May 08,4.3%
151,Apr 08,4.2%
152,Mar 08,3.8%
153,Feb 08,4.1%
154,Jan 08,4.1%
155,Dec 07,4%
156,Nov 07,4.3%
157,Oct 07,4.2%
158,Sep 07,3.9%
159,Aug 07,4.1%
160,Jul 07,3.8%
161,Jun 07,4.4%
162,May 07,4.3%
163,Apr 07,4.5%
164,Mar 07,4.8%
165,Feb 07,4.6%
166,Jan 07,4.2%
167,Dec 06,4.4%
168,Nov 06,3.9%
169,Oct 06,3.7%
170,Sep 06,3.6%
171,Aug 06,3.4%
172,Jul 06,3.3%
173,Jun 06,3.3%
174,May 06,3%
175,Apr 06,2.6%
176,Mar 06,2.4%
177,Feb 06,2.4%
178,Jan 06,2.4%
179,Dec 05,2.2%
180,Nov 05,2.4%
181,Oct 05,2.5%
182,Sep 05,2.7%
183,Aug 05,2.8%
184,Jul 05,2.9%
185,Jun 05,2.9%
186,May 05,2.9%
187,Apr 05,3.2%
188,Mar 05,3.2%
189,Feb 05,3.2%
190,Jan 05,3.2%
191,Dec 04,3.5%
192,Nov 04,3.4%
193,Oct 04,3.3%
194,Sep 04,3.1%
195,Aug 04,3.2%
196,Jul 04,3%
197,Jun 04,3%
198,May 04,2.8%
199,Apr 04,2.5%
200,Mar 04,2.6%
201,Feb 04,2.5%
202,Jan 04,2.6%
203,Dec 03,2.8%
204,Nov 03,2.5%
205,Oct 03,2.6%
206,Sep 03,2.8%
207,Aug 03,2.9%
208,Jul 03,3.1%
209,Jun 03,2.9%
210,May 03,3%
211,Apr 03,3.1%
212,Mar 03,3.1%
213,Feb 03,3.2%
214,Jan 03,2.9%
215,Dec 02,2.9%
216,Nov 02,2.6%
217,Oct 02,2.1%
218,Sep 02,1.7%
219,Aug 02,1.4%
220,Jul 02,1.5%
221,Jun 02,1%
222,May 02,1.1%
223,Apr 02,1.5%
224,Mar 02,1.3%
225,Feb 02,1%
226,Jan 02,1.3%
227,Dec 01,0.7%
228,Nov 01,0.9%
229,Oct 01,1.6%
230,Sep 01,1.7%
231,Aug 01,2.1%
232,Jul 01,1.6%
233,Jun 01,1.9%
234,May 01,2.1%
235,Apr 01,1.8%
236,Mar 01,2.3%
237,Feb 01,2.7%
238,Jan 01,2.7%
239,Dec 00,2.9%
240,Nov 00,3.2%
