,Year,"Deaths per 1,000 live births"
0,2020,3.0
1,2015,3.0
2,2010,4.0
3,2005,5.0
4,2000,6.0
5,1995,8.0
6,1990,10.0
7,1985,13.0
8,1980,18.0
9,1975,26.0
10,1970,37.0
11,1965,48.0
12,1960,61.0
13,1955,82.0
14,1950,108.71
15,1945,157.74
16,1940,190.65
17,1935,186.02
18,1930,211.02
19,1925,252.58
20,1920,290.83
21,1915,279.44
22,1910,282.66
23,1905,279.97
24,1900,326.11
25,1895,312.35
26,1890,302.65
27,1885,313.21
28,1880,316.02
29,1875,325.83
30,1870,320.03
31,1865,303.74
32,1860,297.45
33,1855,358.72
34,1850,438.62
35,1845,450.6
