,Month,Price in British pounds per kilogram
0,Nov '19,0.36
1,Oct '19,0.37
2,Sep '19,0.39
3,Aug '19,0.44
4,Jul '19,0.51
5,Jun '19,0.54
6,May '19,0.51
7,Apr '19,0.48
8,Mar '19,0.46
9,Feb '19,0.48
10,Jan '19,0.49
11,Dec '18,0.5
12,Nov '18,0.5
13,Oct '18,0.52
14,Sep '18,0.52
15,Aug '18,0.55
16,Jul '18,0.57
17,Jun '18,0.62
18,May '18,0.52
19,Apr '18,0.42
20,Mar '18,0.35
21,Feb '18,0.32
22,Jan '18,0.33
23,Dec '17,0.32
24,Nov '17,0.32
25,Oct '17,0.33
26,Sep '17,0.34
27,Aug '17,0.35
28,Jul '17,0.38
29,Jun '17,0.38
30,May '17,0.36
31,Apr '17,0.34
32,Mar '17,0.34
33,Feb '17,0.33
34,Jan '17,0.34
35,Dec '16,0.35
36,Nov '16,0.34
37,Oct '16,0.36
38,Sep '16,0.37
39,Aug '16,0.41
40,Jul '16,0.45
41,Jun '16,0.43
42,May '16,0.4
43,Apr '16,0.39
44,Mar '16,0.37
45,Feb '16,0.37
46,Jan '16,0.37
47,Dec '15,0.34
48,Nov '15,0.34
49,Oct '15,0.36
50,Sep '15,0.4
51,Aug '15,0.44
52,Jul '15,0.46
53,Jun '15,0.47
54,May '15,0.43
55,Apr '15,0.33
56,Mar '15,0.27
57,Feb '15,0.27
58,Jan '15,0.27
