,Telecom Name,Turnover in billion NOK
0,Norsk Hydro ASA,160.91
1,Telenor ASA,110.43
2,Helse Sør-Øst RHF,81.76
3,Equinor ASA,79.59
4,Odd Reitan Private Holding AS,72.04
5,Reitangruppen AS,72.04
6,Rema 1000 AS,54.36
7,Coop Norge SA,49.3
8,The Resource Group Trg AS,42.18
9,Aker ASA,42.16
10,Orkla ASA,40.84
11,Norwegian Air Shuttle ASA,40.27
12,Norsk Tipping AS,38.13
13,Veidekke ASA,35.67
14,Total E&P Norge AS,35.09
15,Atea ASA,34.71
16,Esso Norge AS,31.06
17,Axis-Shield AS,30.58
18,Exxonmobil Exploration And Production Norway AS,30.24
19,Laco AS,29.54
