,Year,Inflation rate compared to previous year
0,2025*,1.9%
1,2024*,1.9%
2,2023*,1.9%
3,2022*,1.76%
4,2021*,1.38%
5,2020*,0.41%
6,2019,1.65%
7,2018,2.01%
8,2017,2.11%
9,2016,0.04%
10,2015,0.06%
11,2014,0.7%
12,2013,1.7%
13,2012,2.89%
14,2011,3.73%
15,2010,2.8%
16,2009,0.01%
17,2008,4.09%
18,2007,2.66%
19,2006,2.96%
20,2005,3.76%
21,2004,3.24%
22,2003,2.53%
23,2002,2.06%
24,2001,2.4%
25,2000,3.78%
26,1999,1.02%
27,1998,0.97%
28,1997,1.37%
29,1996,1.56%
30,1995,1.9%
31,1994,2.2%
32,1993,3.6%
33,1992,3.2%
34,1991,3.1%
35,1990,3.7%
36,1989,3.4%
37,1988,1.4%
38,1987,-0.1%
39,1986,0.3%
40,1985,4.09%
