,Month,Units sold
0,Dec 19,0
1,Nov 19,0
2,Oct 19,0
3,Sep 19,7
4,Aug 19,32
5,Jul 19,2
6,Jun 19,5
7,May 19,12
8,Apr 19,1
9,Mar 19,1
10,Feb 19,2
11,Jan 19,0
12,Dec 18,3
13,Nov 18,6
14,Oct 18,2
15,Sep 18,1
16,Aug 18,1
17,Jul 18,0
18,Jun 18,2
19,May 18,6
20,Apr 18,3
21,Mar 18,15
22,Feb 18,1
23,Jan 18,1
24,Dec 17,4
25,Nov 17,2
26,Oct 17,5
27,Sep 17,6
28,Aug 17,4
29,Jul 17,7
30,Jun 17,7
31,May 17,4
32,Apr 17,13
33,Mar 17,18
34,Feb 17,0
35,Jan 17,0
36,Dec 16,0
37,Nov 16,1
38,Oct 16,0
39,Sep 16,0
40,Aug 16,0
41,Jul 16,0
