,State,Minimum wage in U.S. dollars
0,Alaska,10.19
1,Arizona,12.0
2,Arkansas,10.0
3,California*,13.0
4,Colorado,12.0
5,Connecticut,11.0
6,Delaware,9.25
7,District of Columbia,14.0
8,Florida,8.56
9,Georgia**,5.15
10,Hawaii,10.1
11,Idaho,7.25
12,Illinois,9.25
13,Indiana,7.25
14,Iowa,7.25
15,Kansas,7.25
16,Kentucky,7.25
17,Maine,12.0
18,Maryland,11.0
19,Massachusetts,12.75
20,Michigan,9.65
21,Minnesota***,10.0
22,Missouri,9.45
23,Montana****,8.65
24,Nebraska,9.0
25,Nevada*****,8.25
26,New Hampshire,7.25
27,New Jersey,11.0
28,New Mexico,9.0
29,New York******,11.8
30,North Carolina,7.25
31,North Dakota,7.25
32,Ohio*******,8.7
33,Oklahoma********,7.25
34,Oregon,11.25
35,Pennsylvania,7.25
36,Rhode Island,10.5
37,South Dakota,9.3
38,Texas,7.25
39,Utah,7.25
40,Vermont,10.96
41,Virginia,7.25
42,Washington,13.5
43,West Virginia,8.75
44,Wisconsin,7.25
45,Wyoming,5.15
