,State,Number of signups
0,Alabama,160429
1,Alaska,17696
2,Arizona,153020
3,Arkansas,64360
4,California,1538819
5,Colorado,167000
6,Connecticut,107833
7,Delaware,23961
8,District of Columbia,17300
9,Florida,1913975
10,Georgia,463910
11,Hawaii,20073
12,Idaho,78431
13,Illinois,292945
14,Indiana,140931
15,Iowa,54586
16,Kansas,85837
17,Kentucky,83139
18,Louisiana,87748
19,Maine,62031
20,Maryland,158934
21,Massachusetts,319612
22,Michigan,262919
23,Minnesota,117520
24,Mississippi,98892
25,Missouri,202750
26,Montana,43822
27,Nebraska,90845
28,Nevada,77410
29,New Hampshire,44412
30,New Jersey,246426
31,New Mexico,42714
32,New York,272948
33,North Carolina,505275
34,North Dakota,21666
35,Ohio,196806
36,Oklahoma,158642
37,Oregon,145264
38,Pennsylvania,331825
39,Rhode Island,34700
40,South Carolina,214030
41,South Dakota,29331
42,Tennessee,200445
43,Texas,1116293
44,Utah,200261
45,Vermont,24800
46,Virginia,269474
47,Washington,212590
48,West Virginia,20066
49,Wisconsin,195498
50,Wyoming,24574
