,nonprofit organization,Number of members
0,National Wildlife Federation,1261167
1,World Wildlife Fund - US,1133547
2,The Nature Conservancy,972000
3,Sierra Club,778830
4,Natural Resources Defense Council,600000
5,Ducks Unlimited,598363
6,National Audubon Society,500000
7,Defenders of Wildlife,490000
8,Environmental Defense Fund,400000
9,National Parks Conservation Association,297000
10,The Wilderness Society,275000
11,Ocean Conservancy,170000
12,Greenpeace USA,138804
13,Earthjustice,84000
14,American Rivers,39000
15,Izaak Walton League,37520
16,"Center for Health, Environment, and Justice",31842
17,Trust for Public Land,31760
18,League of Conservation Voters,31754
19,National Park Trust,30000
20,Friends of the Earth,18000
21,Sea Shepherd Conservation Society,8000
22,Earth Island Institute,6000
23,Conservation International,2974
24,Conservation Fund,1800
