,Team Name,Average attendance
0,Chicago Blackhawks,22734
1,Montreal Canadiens,21046
2,Philadelphia Flyers,20371
3,Toronto Maple Leafs,19276
4,Detroit Red Wings,19120
5,Tampa Bay Lightning,19092
6,Minnesota Wild,18907
7,Pittsburgh Penguins,18565
8,Washington Capitals,18508
9,Calgary Flames,18501
10,Edmonton Oilers,18347
11,Vegas Golden Knights,18318
12,Dallas Stars,18178
13,Vancouver Canucks,18022
14,Los Angeles Kings,18000
15,Buffalo Sabres,17908
16,Boston Bruins,17565
17,Nashville Predators,17445
18,St. Louis Blues,17361
19,New York Rangers,17318
20,San Jose Sharks,17266
21,Colorado Avalanche,17132
22,Anaheim Ducks,16814
23,Columbus Blue Jackets,16658
24,Winnipeg Jets,15276
25,New Jersey Devils,14834
26,Ottawa Senators,14553
27,Carolina Hurricanes,14322
28,Arizona Coyotes,13989
29,Florida Panthers,13261
30,New York Islanders,12442
