,Year,GDP in billion U.S. dollars
0,2024*,434.42
1,2023*,416.43
2,2022*,399.7
3,2021*,383.9
4,2020*,369.85
5,2019*,358.84
6,2018,368.14
7,2017,349.43
8,2016,296.27
9,2015,317.58
10,2014,350.9
11,2013,366.82
12,2012,396.33
13,2011,416.88
14,2010,375.3
15,2009,297.22
16,2008,287.1
17,2007,299.03
18,2006,271.81
19,2005,257.67
20,2004,228.93
21,2003,175.25
22,2002,115.75
23,2001,121.6
24,2000,136.45
25,1999,136.55
26,1998,137.69
27,1997,152.61
28,1996,147.7
29,1995,155.46
30,1994,139.8
31,1993,134.35
32,1992,134.56
33,1991,123.96
34,1990,115.53
35,1989,99.04
36,1988,95.21
37,1987,88.57
38,1986,67.56
39,1985,59.1
40,1984,77.32
