,association football club,Number of followers in thousands
0,LA Galaxy,1227.68
1,New York City FC,628.16
2,Atlanta United,429.11
3,Seattle Sounders,298.98
4,Orlando City,305.72
5,New York Red Bulls,166.16
6,LAFC,385.17
7,Toronto FC,211.9
8,Sporting Kansas City,146.91
9,Houston Dynamo,127.96
10,Portland Timbers,141.34
11,Montreal Impact,105.68
12,Vancouver Whitecaps,128.71
13,FC Dallas,93.37
14,Chicago Fire,111.73
15,DC United,141.35
16,San Jose Earthquakes,81.38
17,Columbus Crew,94.9
18,Philadelphia Union,87.05
19,Real Salt Lake,258.72
20,New England Revolution,81.11
21,Minnesota United,74.96
22,Colorado Rapids,56.65
23,FC Cincinnati,93.27
