,Country,Foreign population
0,Morocco,761122
1,Romania,666936
2,United Kingdom,300987
3,Italy,268151
4,Colombia,261537
5,China,197390
6,Venezuela,187268
7,Germany,139250
8,Ecuador,133084
9,Bulgaria,122946
10,France,117381
11,Honduras,109696
12,Ukraine,107706
13,Portugal,106330
14,Peru,101360
15,Argentina,92101
16,Brazil,84288
17,Russia,81826
18,Paraguay,68634
19,Cuba,68138
20,Poland,65667
21,Dominican Republic,64312
22,Bolivia,63997
23,Pakistan,61691
24,Algeria,59487
25,Senegal,58132
26,Netherlands,51490
27,Nicaragua,51021
28,United States of America,47124
29,Belgium,35136
