,Year,Gross domestic product in billion U.S. dollars
0,2024*,511.65
1,2023*,483.88
2,2022*,457.45
3,2021*,433.17
4,2020*,410.5
5,2019*,387.72
6,2018,370.59
7,2017,353.25
8,2016,318.95
9,2015,299.81
10,2014,309.56
11,2013,292.92
12,2012,257.44
13,2011,261.72
14,2010,233.73
15,2009,207.45
16,2008,215.96
17,2007,178.74
18,2006,153.98
19,2005,142.41
20,2004,135.34
21,2003,126.81
22,2002,121.04
23,2001,130.67
24,2000,132.24
25,1999,117.01
26,1998,115.86
27,1997,114.62
28,1996,109.86
29,1995,100.24
30,1994,84.38
31,1993,73.92
32,1992,73.55
33,1991,65.82
34,1990,58.02
35,1989,49.17
36,1988,48.33
37,1987,39.01
38,1986,32.66
39,1985,26.53
40,1984,28.55
