,Country,Number of cases
0,Russia,3260138
1,France,2655728
2,United Kingdom,2654779
3,Italy,2155446
4,Spain,1958844
5,Germany,1775513
6,Turkey,1417697
7,Poland,1322947
8,Ukraine,1074093
9,Netherlands,820193
10,Czechia,746714
11,Belgium,650794
12,Romania,640429
13,Sweden,469748
14,Switzerland,459660
15,Portugal,427254
16,Austria,364574
17,Serbia,343870
18,Hungary,328851
19,Georgia,229763
20,Azerbaijan,220265
21,Croatia,212958
22,Bulgaria,203051
23,Belarus,199962
24,Slovakia,188099
25,Denmark,168711
26,Armenia,160220
27,Lithuania,147997
28,Moldova,145873
29,Greece,140099
30,Slovenia,125858
31,Bosnia and Herzegovina,112645
32,Ireland,101887
33,North Macedonia,84024
34,Albania,59438
35,Kosovo,51965
36,Norway,50715
37,Montenegro,49195
38,Luxembourg,46919
39,Latvia,42497
40,Finland,36919
41,Estonia,29521
42,Cyprus,23974
43,Malta,13082
44,Andorra,8192
45,Iceland,5754
46,Jersey,2821
47,San Marino,2493
48,Gibraltar,2406
49,Liechtenstein,2222
50,Monaco,907
51,Faroe Islands,620
52,Isle of Man,380
53,Guernsey,300
54,Vatican City,26
