,Year,Inflation rate compared to previous year
0,2025*,1%
1,2024*,1%
2,2023*,1.25%
3,2022*,1.75%
4,2021*,1%
5,2020*,0%
6,2019,1%
7,2018,1.02%
8,2017,1.88%
9,2016,3.07%
10,2015,4.66%
11,2014,5.7%
12,2013,5.19%
13,2012,9.28%
14,2011,5.1%
15,2010,10.53%
16,2009,7.01%
17,2008,12.04%
18,2007,7.88%
19,2006,8.31%
20,2005,6.88%
21,2004,3.76%
22,2003,3.78%
23,2002,4.14%
24,2001,5.6%
25,2000,3.52%
26,1999,3.41%
27,1998,5.6%
28,1997,3.66%
29,1996,3.29%
30,1995,5.27%
31,1994,8.81%
32,1993,10.79%
33,1992,6.49%
34,1991,3.8%
35,1990,11.06%
36,1989,11.43%
37,1988,7.76%
38,1987,10.75%
39,1986,7.69%
40,1985,7.62%
