,Month,Inflation rate
0,Jul '20,-1.2%
1,Jun '20,-1.5%
2,May '20,-1.3%
3,Apr '20,-1.2%
4,Mar '20,-1.6%
5,Feb '20,-1%
6,Jan '20,-1.1%
7,Dec '19,-0.9%
8,Nov '19,-1%
9,Oct '19,-1.1%
10,Sep '19,-0.8%
11,Aug '19,-0.3%
12,Jul '19,-0.5%
13,Jun '19,-0.1%
14,May '19,-0.2%
15,Apr '19,-0.1%
16,Mar '19,-0.6%
17,Feb '19,-0.7%
18,Jan '19,-1.5%
19,Dec '18,-1.4%
20,Nov '18,-2%
21,Oct '18,-2.2%
22,Sep '18,-2.2%
23,Aug '18,-2.6%
24,Jul '18,-2.1%
25,Jun '18,-2.1%
26,May '18,-2.3%
27,Apr '18,-2%
28,Mar '18,-1.8%
29,Feb '18,-1.8%
30,Jan '18,-1.7%
31,Dec '17,-1.5%
32,Nov '17,-1.2%
33,Oct '17,-1.2%
34,Sep '17,-2%
35,Aug '17,-1.7%
36,Jul '17,-2%
37,Jun '17,-2.7%
38,May '17,-2.2%
39,Apr '17,-2.7%
40,Mar '17,-2.6%
41,Feb '17,-2.6%
42,Jan '17,-2.4%
