,Response,Share of GDP
0,2029 *,4%
1,2028 *,4.02%
2,2027 *,4.04%
3,2026 *,4.05%
4,2025 *,4.06%
5,2024 *,4.08%
6,2023 *,4.08%
7,2022 *,4.09%
8,2021 *,4.07%
9,2020 *,4.04%
10,2019,4%
11,2018,3.97%
12,2017,4.12%
13,2016,4.17%
14,2015,3.89%
15,2014,4.16%
16,2013,4.08%
17,2012,4.19%
18,2011,4.15%
19,2010,4.04%
20,2009,3.84%
21,2008,4.16%
22,2007,4.01%
23,2006,4.12%
24,2005,4.08%
25,2004,4.21%
26,2003,3.89%
27,2002,4.44%
28,2001,4.52%
29,2000,4.35%
30,1999,5%
31,1998,4.91%
32,1997,4.9%
33,1996,5.41%
34,1995,5.77%
