,Month,Inflation rate
0,Jan '20,1.4%
1,Dec '19,1.7%
2,Nov '19,2.1%
3,Oct '19,1.3%
4,Sep '19,1.8%
5,Aug '19,1.8%
6,Jul '19,1.4%
7,Jun '19,1.6%
8,May '19,1%
9,Apr '19,0.7%
10,Mar '19,0.8%
11,Feb '19,1.1%
12,Jan '19,0.9%
13,Dec '18,0.7%
14,Nov '18,0.5%
15,Oct '18,0.9%
16,Sep '18,1.5%
17,Aug '18,2.5%
18,Jul '18,2.3%
19,Jun '18,2%
20,May '18,2.3%
21,Apr '18,2.7%
22,Mar '18,3%
23,Feb '18,3%
24,Jan '18,3.7%
25,Dec '17,3.9%
26,Nov '17,4.1%
27,Oct '17,4%
28,Sep '17,3%
29,Aug '17,2.1%
30,Jul '17,2.6%
31,Jun '17,2.3%
32,May '17,2.1%
33,Apr '17,1.5%
34,Mar '17,1.2%
35,Feb '17,0.2%
36,Jan '17,-0.5%
37,Dec '16,-1.1%
38,Nov '16,-2%
39,Oct '16,-2.4%
40,Sep '16,-2.3%
41,Aug '16,-2.2%
42,Jul '16,-2.6%
43,Jun '16,-2.9%
44,May '16,-2.8%
45,Apr '16,-2.5%
46,Mar '16,-2.7%
47,Feb '16,-2.3%
48,Jan '16,-2.6%
49,Dec '15,-2.9%
50,Nov '15,-2.4%
51,Oct '15,-2.7%
52,Sep '15,-2.3%
53,Aug '15,-2.4%
54,Jul '15,-2.7%
55,Jun '15,-2.2%
56,May '15,-1.8%
57,Apr '15,-2.8%
58,Mar '15,-3%
