,Year,Number of reported cases
0,2019,5086096
1,2018,5232167
2,2017,5513000
3,2016,5644835
4,2015,5723488
5,2014,5809054
6,2013,6019465
7,2012,6168874
8,2011,6151095
9,2010,6204601
10,2009,6338095
11,2008,6586206
12,2007,6591542
13,2006,6626363
14,2005,6783447
15,2004,6937089
16,2003,7026802
17,2002,7057379
18,2001,7092267
19,2000,6971590
20,1999,6955520
21,1998,7376311
22,1997,7743760
23,1996,7904685
24,1995,7997710
25,1994,7879812
26,1993,7820909
27,1992,7915199
28,1991,8142228
29,1990,7945700
