,television channel name,Market share
0,TV4,28%
1,svt1,26.2%
2,svt2,6.3%
3,TV3,4.3%
4,Sjuan,3.5%
5,Kanal5,3.4%
6,TV8,2.8%
7,TV6,2.8%
8,TV12,2.1%
9,Kanal 9,2%
10,Kanal 11,1.8%
11,svtB,1.3%
12,TV10,1.3%
13,Discovery,1%
14,Kunskapskanal,0.9%
15,Investigation Discovery,0.6%
16,TLC,0.5%
17,TV4 Fakta,0.5%
18,TV4 Film,0.5%
19,National Geographic,0.4%
20,svt24,0.4%
21,TV4 Guld,0.3%
22,Paramount Network,0.3%
23,Eurosport,0.2%
24,Sportkanalen,0.2%
25,History,0.2%
26,Godare,0.2%
27,Nickelodeon,0.1%
28,FOX,0.1%
29,Eurosport 2 Sweden,0.1%
30,Boomerang,0.1%
31,Cartoon Network Sweden,0.1%
32,Disney Channel,0.1%
33,Cartoon Network Nordic,0%
