,Response,Google,Yahoo,Bing,AOL,Ask,Other
0,Total,15.77%,5.24%,66.77%,0.26%,3.4%,8.57%
1,One word,38.88%,3.17%,25.47%,0.22%,2.68%,29.58%
2,Two words,11.17%,7.52%,76.39%,0.68%,2.75%,1.49%
3,Three words,6.75%,5.22%,84.01%,0.1%,3.25%,0.66%
4,Four words,5.12%,5.28%,86.59%,0.09%,2.66%,0.26%
5,Five words,4.58%,5.18%,87.04%,0.21%,2.95%,0.04%
6,Six words,8.3%,6.96%,79.38%,0.36%,4.73%,0.27%
7,Seven words,7.65%,9.28%,73.29%,0.65%,8.96%,0.16%
8,Eight words,7.56%,7.84%,71.99%,0.84%,11.76%,0%
9,Nine words,6.4%,8.37%,75.86%,0.49%,8.87%,0%
10,Ten or more words,5.24%,9.42%,65.97%,0%,19.37%,0%
