,Year,Gross domestic product in billion U.S. dollars
0,2024*,222.13
1,2023*,211.57
2,2022*,201.49
3,2021*,192.24
4,2020*,180.5
5,2019*,170.41
6,2018,161.18
7,2017,139.84
8,2016,126.05
9,2015,123.07
10,2014,140.08
11,2013,135.22
12,2012,127.86
13,2011,140.78
14,2010,130.92
15,2009,130.59
16,2008,158.0
17,2007,139.85
18,2006,115.3
19,2005,113.04
20,2004,104.07
21,2003,85.33
22,2002,67.72
23,2001,53.82
24,2000,47.31
25,1999,49.17
26,1998,48.77
27,1997,47.29
28,1996,46.66
29,1995,46.42
30,1994,43.16
31,1993,40.12
32,1992,38.73
33,1991,34.75
34,1990,34.36
35,1989,30.32
36,1988,29.7
37,1987,27.14
38,1986,24.69
39,1985,21.44
40,1984,21.17
