,Month,Number of viewers in thousands
0,November 2020,15.87
1,October 2020,14.68
2,September 2020,15.39
3,August 2020,16.78
4,July 2020,17.48
5,June 2020,16.68
6,May 2020,15.44
7,April 2020,15.83
8,March 2020,17.57
9,February 2020,25.5
10,January 2020,15.81
11,December 2019,15.69
12,November 2019,12.3
13,October 2019,11.14
14,September 2019,15.16
15,August 2019,19.13
16,July 2019,14.43
17,June 2019,16.77
18,May 2019,12.8
19,April 2019,11.47
20,March 2019,12.12
21,February 2019,16.81
22,January 2019,16.27
23,December 2018,12.46
24,November 2018,12.9
25,October 2018,9.19
26,September 2018,15.0
27,August 2018,19.06
28,July 2018,17.72
29,June 2018,12.32
30,May 2018,12.66
31,April 2018,11.14
32,March 2018,12.66
33,February 2018,16.92
34,January 2018,7.37
