,football club,Average attendance
0,Boussia Dortmund,80295
1,Manchester United,75205
2,Barcelona,72115
3,Real Madrid,71565
4,Bayern Munich,71000
5,Schalke 04,61750
6,Arsenal,60015
7,Borussia Mönchengladbach,52240
8,Hertha BSC,51890
9,Hamburger SV,51825
10,Ajax Amsterdam,50905
11,VfB Stuttgart,50500
12,Newcastle United,50395
13,Manchester City,47075
14,Eintracht Frankfurt,47055
15,Celtic FC,46810
16,FC Internazionale,46245
17,Atletico Madrid,46245
18,FC Köln,46235
19,Feyenoord,45755
20,Hannover 96,45635
21,Paris Saint Germain,45420
22,Liverpool,44670
23,SL Benfica,43615
24,Rangers FC,42935
