,State,Number of firearms stolen or lost
0,Florida,1395
1,Texas,1042
2,North Carolina,575
3,Alabama,505
4,Georgia,500
5,Ohio,454
6,Alaska,422
7,Michigan,410
8,Virginia,401
9,Arkansas,399
10,Illinois,366
11,South Carolina,364
12,Washington,364
13,Louisiana,360
14,Missouri,324
15,Pennsylvania,315
16,Oregon,310
17,Mississippi,302
18,Arizona,271
19,Colorado,263
20,Tennessee,247
21,Oklahoma,228
22,Wisconsin,194
23,California,191
24,Maryland,186
25,Utah,173
26,Massachusetts,171
27,South Dakota,168
28,Kansas,167
29,Indiana,166
30,Kentucky,154
31,Nevada,153
32,Iowa,147
33,Connecticut,137
34,West Virginia,127
35,New Mexico,101
36,Montana,98
37,Idaho,93
38,Vermont,93
39,Minnesota,89
40,Maine,82
41,New York,77
42,North Dakota,55
43,Nebraska,53
44,New Hampshire,48
45,Wyoming,35
46,Delaware,19
47,New Jersey,10
48,Hawaii,6
49,Rhode Island,2
