,Quarter,Imports in billion U.S. dollars
0,Q3 '19,783.15
1,Q2 '19,786.06
2,Q1 '19,783.44
3,Q4 '18,794.91
4,Q3 '18,789.66
5,Q2 '18,773.19
6,Q1 '18,771.23
7,Q4 '17,753.89
8,Q3 '17,719.9
9,Q2 '17,717.72
10,Q1 '17,711.16
11,Q4 '16,695.8
12,Q3 '16,684.81
13,Q2 '16,673.18
14,Q1 '16,665.04
15,Q4 '15,676.61
16,Q3 '15,692.85
17,Q2 '15,696.93
18,Q1 '15,698.83
19,Q4 '14,719.23
20,Q3 '14,718.53
21,Q2 '14,721.36
22,Q1 '14,707.12
23,Q4 '13,692.16
24,Q3 '13,689.29
25,Q2 '13,687.02
26,Q1 '13,686.87
27,Q4 '12,686.1
28,Q3 '12,683.79
29,Q2 '12,692.07
30,Q1 '12,693.8
31,Q4 '11,683.25
32,Q3 '11,676.94
33,Q2 '11,669.4
34,Q1 '11,646.06
35,Q4 '10,613.13
36,Q3 '10,597.72
37,Q2 '10,581.13
38,Q1 '10,556.29
