,Month,Percentage of paintings containing element
0,At least one tree,91%
1,At least two trees,85%
2,Deciduous tree,56%
3,Coniferous tree,53%
4,Clouds,44%
5,At least one mountain,39%
6,Grass,36%
7,Lake,34%
8,River or stream,33%
9,Bushes,30%
10,Snow-covered mountain,26%
11,At least two mountains,24%
12,Man-made structure,22%
13,Cumulus clouds,21%
14,Rocks,20%
15,Sun,20%
16,Waterfall,20%
17,Snow,19%
18,Cabin,18%
19,Winter setting,18%
20,Frame,13%
21,Path,13%
22,Oval frame,9%
23,Ocean,9%
24,Waves,9%
25,Beach,7%
26,Cirrus clouds,7%
27,Fence,6%
28,Fog,6%
29,Hills,4%
30,Barn,4%
31,Nighttime,3%
32,Flowers,2%
33,Palm tree,2%
34,Cliff,2%
35,Bridge,2%
