,Response,Percentage of respondents
0,Healthy eating apps,49%
1,Firtness/training apps,48%
2,Calorie counter apps,48%
3,Nutrition apps,46%
4,General health and lifestyle information apps,41%
5,"Apps to access health magazines, blogs, Facebook pages, etc.",23%
6,"Apps that provide advice/support on long-term medical conditions such as diabetes, asthma, IBS, etc.",13%
7,Sleep aids/sleep monitoring apps,10%
8,Medication reminder apps,9%
9,Apps to help educate children on health,9%
10,Private medical provider apps,7%
11,Other health and lifestyle information apps (e.g. alcohol intake monitoring),4%
12,Apps that provide smoking cessation support tools,1%
