,Month,Index number of sales per week
0,Jul 20,127.3
1,Jun 20,110.1
2,May 20,78.9
3,Apr 20,77.6
4,Mar 20,129.5
5,Feb 20,126.7
6,Jan 20,116.7
7,Dec 19,128.6
8,Nov 19,139.3
9,Oct 19,132.0
10,Sep 19,137.2
11,Aug 19,141.1
12,Jul 19,141.3
13,Jun 19,143.7
14,Msy 19,141.6
15,Apr 19,137.5
16,Mar 19,138.1
17,Feb 19,145.7
18,Jan 19,142.9
19,Dec 18,128.7
20,Nov 18,135.2
21,Oct 18,135.8
22,Sep 18,129.7
23,Aug 18,129.0
24,Jul 18,126.4
25,Jun 18,124.3
26,May 18,123.7
27,Apr 18,119.2
28,Mar 18,119.0
29,Feb 18,116.8
30,Jan 18,114.2
31,Dec 17,113.6
32,Nov 17,112.4
33,Oct 17,108.8
34,Sep 17,109.3
35,Aug 17,104.5
36,Jul 17,104.9
37,Jun 17,105.8
38,May 17,104.7
39,Apr 17,111.2
40,Mar 17,112.0
41,Feb 17,106.8
42,Jan 17,105.0
43,Dec 16,101.9
44,Nov 16,102.2
45,Oct 16,103.3
46,Sep 16,100.2
47,Aug 16,105.5
48,Jul 16,103.9
49,Jun 16,98.4
50,May 16,98.5
51,Apr 16,98.3
52,Mar 16,95.9
53,Feb 16,96.0
54,Jan 16,96.9
