,Month,Market share
0,Dec 19,3.56%
1,Nov 19,3.73%
2,Oct 19,4.34%
3,Sep 19,4%
4,Aug 19,2.51%
5,Jul 19,3.94%
6,Jun 19,4.14%
7,May 19,4.22%
8,Apr 19,3.94%
9,Mar 19,4.36%
10,Feb 19,3.01%
11,Jan 19,4.33%
12,Dec 18,3.67%
13,Nov 18,3.6%
14,Oct 18,4.19%
15,Sep 18,4.97%
16,Aug 18,2.64%
17,Jul 18,3.85%
18,Jun 18,3.68%
19,May 18,4.52%
20,Apr 18,4.44%
21,Mar 18,5.18%
22,Feb 18,2.87%
23,Jan 18,4.84%
24,Dec 17,5.09%
25,Nov 17,4.78%
26,Oct 17,5.17%
27,Sep 17,6.76%
28,Aug 17,4.85%
29,Jul 17,6.04%
30,Jun 17,5.37%
31,May 17,5.71%
32,Apr 17,5.29%
33,Mar 17,6.57%
34,Feb 17,6.06%
35,Jan 17,6.52%
36,Dec 16,5.97%
37,Nov 16,5.58%
38,Oct 16,6.55%
39,Sep 16,5.92%
40,Aug 16,4.29%
41,Jul 16,5.57%
