,Quarter,Net income in million U.S. dollars
0,Q4 '19,3268
1,Q3 '19,2134
2,Q2 '19,2625
3,Q1 '19,3561
4,Q4 '18,3027
5,Q3 '18,2883
6,Q2 '18,2534
7,Q1 '18,1629
8,Q4 '17,1856
9,Q3 '17,256
10,Q2 '17,197
11,Q1 '17,724
12,Q4 '16,749
13,Q3 '16,252
14,Q2 '16,857
15,Q1 '16,513
16,Q4 '15,482
17,Q3 '15,79
18,Q2 '15,92
19,Q1 '15,-57
20,Q4 '14,214
21,Q3 '14,-437
22,Q2 '14,-126
23,Q1 '14,108
24,Q4 '13,239
25,Q3 '13,-41
26,Q2 '13,-7
27,Q1 '13,82
28,Q4 '12,97
29,Q3 '12,-274
30,Q2 '12,7
31,Q1 '12,130
32,Q4 '11,177
33,Q3 '11,63
34,Q2 '11,191
35,Q1 '11,201
36,Q4 '10,416
37,Q3 '10,231
38,Q2 '10,207
39,Q1 '10,299
40,Q4 '09,384
41,Q3 '09,199
42,Q2 '09,142
43,Q1 '09,177
