,Brand Name,Turnover in million SEK
0,"Volvo, AB",390835
1,Volvo Car AB,252653
2,"Ericsson, Telefon AB LM",210838
3,H&M Hennes & Mauritz AB,210400
4,Skanska AB,171730
5,Vattenfall AB,156824
6,Scania CV AB,137126
7,Scania AB,137126
8,Electrolux AB,124129
9,Essity AB,118500
10,ICA Gruppen AB,115354
11,Corral Petroleum Holdings AB,103641
12,Securitas AB,101467
13,Sandvik AB,100072
14,Atlas Copco AB,95363
15,Nordea Bank AB,93270
16,SKF AB,85713
17,Assa Abloy AB,84048
18,Telia Company AB,83559
19,Axel Johnson Holding AB,82354
