,Month,GDP growth
0,Oct 20,0.4%
1,Sep 20,1.1%
2,Aug 20,2.2%
3,Jul 20,6.3%
4,Jun 20,9.1%
5,May 20,2.7%
6,Apr 20,-19.5%
7,Mar 20,-7.3%
8,Feb 20,-0.3%
9,Jan 20,0.1%
10,Dec 19,0.1%
11,Nov 19,-0.3%
12,Oct 19,0.2%
13,Sep19,0%
14,Aug 19,-0.1%
15,Jul 19,0.3%
16,Jun 19,0.1%
17,May 19,0.3%
18,Apr 19,-0.4%
19,Mar 19,0.2%
20,Feb 19,0.4%
21,Jan 19,0.4%
22,Dec 18,-0.3%
23,Nov 18,0.1%
24,Oct 18,0.3%
25,Sep 18,0.1%
26,Aug 18,0.1%
27,Jul 18,0.3%
28,Jun 18,0.3%
29,May 18,0.2%
30,Apr 18,0.2%
31,Mar 18,0%
32,Feb 18,-0.3%
33,Jan 18,0.1%
34,Dec 17,0.1%
35,Nov 17,0.3%
36,Oct 17,-0.1%
37,Sep 17,0.3%
38,Aug 17,0.2%
39,Jul 17,0.1%
40,Jun 17,0.1%
41,May 17,0.3%
42,Apr 17,0.1%
43,Mar 17,0.2%
44,Feb 17,-0.2%
45,Jan 17,0.2%
46,Dec 16,0.5%
47,Nov 16,0.3%
48,Oct 16,0%
49,Sep 16,0.3%
50,Aug 16,0.1%
51,Jul 16,0.1%
52,Jun 16,0.1%
53,May 16,-0.3%
54,Apr 16,0.6%
55,Mar 16,-0.2%
56,Feb 16,0.3%
57,Jan 16,-0.1%
58,Dec 15,0.2%
59,Nov 15,0.1%
60,Oct 15,0.3%
61,Sep 15,0.3%
62,Aug 15,-0.2%
63,Jul 15,0.4%
64,Jun 15,0.1%
65,May 15,-0.1%
66,Apr 15,0.6%
67,Mar 15,0.2%
68,Feb 15,0.2%
69,Jan 15,0%
70,Dec 14,0.1%
71,Nov 14,0.2%
72,Oct 14,0.3%
73,Sep 14,0.2%
74,Aug 14,0%
75,Jul 14,0.4%
76,Jun 14,0.2%
77,May 14,0.3%
78,Apr 14,-0.1%
79,Mar 14,0.6%
80,Feb 14,0.4%
81,Jan 14,0.5%
82,Dec 13,-0.2%
83,Nov 13,0%
84,Oct 13,0.6%
85,Sep 13,0%
86,Aug 13,0.3%
87,Jul 13,0.4%
88,Jun 13,0.1%
89,May 13,0.5%
90,Apr 13,0.2%
91,Mar 13,-0.1%
92,Feb 13,0.7%
93,Jan 13,0.3%
94,Dec 12,-0.2%
95,Nov 12,0.1%
96,Oct 12,0.5%
97,Sep 12,-1%
98,Aug 12,0.5%
99,Jul 12,1.9%
100,Jun 12,-1.6%
101,May 12,1.2%
102,Apr 12,-0.5%
103,Mar 12,0.3%
104,Feb 12,-0.3%
105,Jan 12,0.2%
106,Dec 11,0.2%
107,Nov 11,1%
108,Oct 11,-0.5%
109,Sep 11,0.2%
110,Aug 11,-0.4%
111,Jul 11,0.4%
112,Jun 11,-0.1%
113,May 11,1%
114,Apr 11,-0.9%
115,Mar 11,0.5%
116,Feb 11,0.4%
117,Jan 11,0.6%
118,Dec 10,-0.9%
119,Nov 10,-0.1%
120,Oct 10,0.2%
121,Sep 10,0.2%
122,Aug 10,0.2%
123,Jul 10,0.4%
124,Jun 10,0.3%
125,May 10,0.3%
126,Apr 10,0%
127,Mar 10,0.8%
128,Feb 10,1.3%
129,Jan 10,-0.8%
