,Formula 1 driver,Number of podium finishes
0,"Hamilton , Lewis",165
1,"Schumacher , Michael",155
2,"Vettel , Sebastian",121
3,"Cheers , Alain",106
4,"Raikkonen , Kimi",103
5,"Alonso , Fernando",97
6,"Senna , Ayrton",80
7,"Barrichello , Rubens",68
8,"Coulthard , David",62
9,"Piquet , Nelson",60
10,"Mansell , Nigel",59
11,"Rosberg , Nico",57
12,"Bottas , Valtteri",56
13,"Lauda , Niki",54
14,"Hakkinen , Mika",51
15,"Button , Jenson",50
16,"Berger , Gerhard",48
17,"Reutemann , Carlos",45
18,"Stewart , Jackie",43
19,"Hill , Damon",42
20,"Verstappen , Max",42
21,"Webber , Mark",42
22,"Massa , Felipe",41
23,"Patrese , Riccardo",37
24,"Fittipaldi , Emerson",35
