,State,Average size of household
0,Utah,3.08
1,Hawaii,2.95
2,California,2.94
3,Texas,2.84
4,Alaska,2.79
5,Georgia,2.69
6,Idaho,2.68
7,Arizona,2.67
8,Nevada,2.66
9,Florida,2.66
10,Maryland,2.65
11,New Jersey,2.65
12,Mississippi,2.62
13,United States,2.61
14,Louisiana,2.6
15,Virginia,2.6
16,New Mexico,2.59
17,Oklahoma,2.57
18,Washington,2.55
19,Illinois,2.54
20,New York,2.54
21,South Carolina,2.54
22,Indiana,2.52
23,North Carolina,2.52
24,Delaware,2.52
25,Alabama,2.52
26,Arkansas,2.52
27,Colorado,2.52
28,Connecticut,2.51
29,Tennessee,2.51
30,Massachusetts,2.51
31,Rhode Island,2.5
32,Oregon,2.5
33,Kansas,2.49
34,Kentucky,2.48
35,Minnesota,2.48
36,Michigan,2.46
37,New Hampshire,2.44
38,Nebraska,2.44
39,Missouri,2.43
40,Pennsylvania,2.42
41,Wyoming,2.42
42,Ohio,2.4
43,West Virginia,2.4
44,South Dakota,2.4
45,Iowa,2.38
46,Wisconsin,2.38
47,Montana,2.38
48,District of Columbia,2.29
49,Maine,2.28
50,Vermont,2.28
51,North Dakota,2.28
