,Year,Gross domestic product in billion U.S. dollars
0,2024*,22.76
1,2023*,21.13
2,2022*,19.64
3,2021*,18.12
4,2020*,16.75
5,2019*,15.42
6,2018,15.06
7,2017,13.06
8,2016,11.86
9,2015,11.39
10,2014,13.25
11,2013,12.8
12,2012,12.32
13,2011,12.9
14,2010,11.94
15,2009,12.09
16,2008,12.9
17,2007,10.68
18,2006,8.91
19,2005,8.05
20,2004,7.19
21,2003,5.61
22,2002,4.35
23,2001,3.93
24,2000,3.48
25,1999,3.21
26,1998,2.56
27,1997,2.26
28,1996,3.2
29,1995,2.88
30,1994,2.36
31,1993,1.46
32,1992,0.84
33,1991,1.33
34,1990,2.22
35,1989,2.78
36,1988,2.53
37,1987,2.57
38,1986,2.59
39,1985,2.34
40,1984,2.29
